"LAT","LON","ship_type","SHIPNAME","DATETIME","DIFFERENCE","ID","ship_type_and_name","DISTANCE","TIME","TYPE"
55.7091,21.12082,"Cargo","AMATHUS",2016-12-15 09:33:07,360,121631,"Cargo AMATHUS",7.892673790227,360,"departure"
54.6685,19.80217,"Cargo","AMBAL",2016-12-20 08:55:03,119,121671,"Cargo AMBAL",NA,NA,"arrival"
55.176,19.87267,"Cargo","AMBAL",2016-12-20 02:13:03,24120,121672,"Cargo AMBAL",56674.3781440912,24120,"departure"
54.63288,19.89483,"Cargo","AMBER SPIRIT",2016-12-19 15:33:03,120,122386,"Cargo AMBER SPIRIT",NA,NA,"arrival"
54.65795,19.84142,"Cargo","AMBER SPIRIT",2016-12-19 15:15:03,1080,122387,"Cargo AMBER SPIRIT",4429.92403631227,1080,"departure"
54.64067,20.02383,"Cargo","AMELAND",2016-12-18 13:43:03,124,123288,"Cargo AMELAND",NA,NA,"arrival"
54.633,19.89367,"Cargo","AMELAND",2016-12-18 13:17:02,1561,123289,"Cargo AMELAND",8429.16353247522,1561,"departure"
54.655,19.8496,"Cargo","AMERDIJK",2016-12-13 18:39:03,119,123297,"Cargo AMERDIJK",NA,NA,"arrival"
54.63272,19.89502,"Cargo","AMERDIJK",2016-12-13 18:37:03,120,123298,"Cargo AMERDIJK",3835.55578833081,120,"departure"
57.93881,11.68675,"Cargo","ANDALUCIA STAR",2016-12-14 22:57:05,121,124023,"Cargo ANDALUCIA STAR",NA,NA,"arrival"
57.9162,11.63816,"Cargo","ANDALUCIA STAR",2016-12-14 22:55:05,120,124024,"Cargo ANDALUCIA STAR",3818.92077926203,120,"departure"
55.7312,21.01329,"Cargo","ANETTA",2016-12-16 11:15:07,119,124629,"Cargo ANETTA",NA,NA,"arrival"
55.73262,20.98763,"Cargo","ANETTA",2016-12-16 11:13:06,121,124630,"Cargo ANETTA",1616.12330379409,121,"departure"
54.78513,18.9612,"Cargo","ANGLIA SEAWAYS",2016-12-20 02:05:02,120,129645,"Cargo ANGLIA SEAWAYS",NA,NA,"arrival"
54.79479,18.94468,"Cargo","ANGLIA SEAWAYS",2016-12-20 02:03:01,121,129646,"Cargo ANGLIA SEAWAYS",1510.18230707738,121,"departure"
55.70835,20.81501,"Cargo","ANGORA",2016-12-15 08:33:07,119,135866,"Cargo ANGORA",NA,NA,"arrival"
55.70655,20.80155,"Cargo","ANGORA",2016-12-15 08:31:06,121,135867,"Cargo ANGORA",867.658220689811,121,"departure"
57.61167,11.6025,"Cargo","ANINA",2016-12-15 00:51:05,NA,135868,"Cargo ANINA",NA,NA,"arrival"
57.6115,11.634,"Cargo","ANINA",2016-12-15 00:49:05,120,135869,"Cargo ANINA",1878.40756238583,120,"departure"
57.93012,11.67011,"Cargo","ANJELIERSGRACHT",2016-12-16 10:47:05,120,136351,"Cargo ANJELIERSGRACHT",NA,NA,"arrival"
57.94062,11.68803,"Cargo","ANJELIERSGRACHT",2016-12-16 10:45:05,120,136352,"Cargo ANJELIERSGRACHT",1577.25488444277,120,"departure"
57.63334,11.69167,"Cargo","ANNAMARIE",2016-12-15 06:41:05,120,146702,"Cargo ANNAMARIE",NA,NA,"arrival"
57.61783,11.6745,"Cargo","ANNAMARIE",2016-12-15 06:39:05,120,146703,"Cargo ANNAMARIE",2007.09903882123,120,"departure"
54.51431,18.99619,"Cargo","APL MERLION",2016-12-19 19:13:01,121,147196,"Cargo APL MERLION",NA,NA,"arrival"
54.7311,18.99907,"Cargo","APL MERLION",2016-12-19 18:01:02,4319,147197,"Cargo APL MERLION",24133.6662003012,4319,"departure"
55.61112,20.80787,"Cargo","ARA ROTTERDAM",2016-12-14 19:23:06,120,152263,"Cargo ARA ROTTERDAM",NA,NA,"arrival"
55.00592,19.83046,"Cargo","ARA ROTTERDAM",2016-12-14 17:41:02,6124,152264,"Cargo ARA ROTTERDAM",91506.4336812321,6124,"departure"
54.51316,18.98008,"Cargo","ARETHOUSA",2016-12-14 10:37:02,120,161817,"Cargo ARETHOUSA",NA,NA,"arrival"
54.52544,18.99381,"Cargo","ARETHOUSA",2016-12-14 10:35:02,120,161818,"Cargo ARETHOUSA",1629.6349024777,120,"departure"
54.55957,18.5508,"Cargo","ARION",2016-12-17 09:11:07,6600,168153,"Cargo ARION",NA,NA,"arrival"
54.52898,18.55068,"Cargo","ARION",2016-12-17 07:27:07,6240,168154,"Cargo ARION",3405.27203973875,6240,"departure"
57.61075,11.62227,"Cargo","ARK FORWARDER",2016-12-17 04:57:05,120,168817,"Cargo ARK FORWARDER",NA,NA,"arrival"
